#omega	spectral weight
-8.000000e+00	1.131412e-05
-7.997500e+00	1.131752e-05
-7.995000e+00	1.132092e-05
-7.992500e+00	1.132433e-05
-7.990000e+00	1.132774e-05
-7.987500e+00	1.133115e-05
-7.985000e+00	1.133456e-05
-7.982500e+00	1.133798e-05
-7.980000e+00	1.134139e-05
-7.977500e+00	1.134481e-05
-7.975000e+00	1.134822e-05
-7.972500e+00	1.135164e-05
-7.970000e+00	1.135506e-05
-7.967500e+00	1.135849e-05
-7.965000e+00	1.136191e-05
-7.962500e+00	1.136534e-05
-7.960000e+00	1.136876e-05
-7.957500e+00	1.137219e-05
-7.955000e+00	1.137562e-05
-7.952500e+00	1.137906e-05
-7.950000e+00	1.138249e-05
-7.947500e+00	1.138592e-05
-7.945000e+00	1.138936e-05
-7.942500e+00	1.139280e-05
-7.940000e+00	1.139624e-05
-7.937500e+00	1.139968e-05
-7.935000e+00	1.140312e-05
-7.932500e+00	1.140657e-05
-7.930000e+00	1.141001e-05
-7.927500e+00	1.141346e-05
-7.925000e+00	1.141691e-05
-7.922500e+00	1.142036e-05
-7.920000e+00	1.142382e-05
-7.917500e+00	1.142727e-05
-7.915000e+00	1.143072e-05
-7.912500e+00	1.143418e-05
-7.910000e+00	1.143764e-05
-7.907500e+00	1.144110e-05
-7.905000e+00	1.144456e-05
-7.902500e+00	1.144803e-05
-7.900000e+00	1.145149e-05
-7.897500e+00	1.145496e-05
-7.895000e+00	1.145843e-05
-7.892500e+00	1.146190e-05
-7.890000e+00	1.146537e-05
-7.887500e+00	1.146884e-05
-7.885000e+00	1.147232e-05
-7.882500e+00	1.147579e-05
-7.880000e+00	1.147927e-05
-7.877500e+00	1.148275e-05
-7.875000e+00	1.148623e-05
-7.872500e+00	1.148972e-05
-7.870000e+00	1.149320e-05
-7.867500e+00	1.149669e-05
-7.865000e+00	1.150017e-05
-7.862500e+00	1.150366e-05
-7.860000e+00	1.150715e-05
-7.857500e+00	1.151065e-05
-7.855000e+00	1.151414e-05
-7.852500e+00	1.151764e-05
-7.850000e+00	1.152113e-05
-7.847500e+00	1.152463e-05
-7.845000e+00	1.152813e-05
-7.842500e+00	1.153164e-05
-7.840000e+00	1.153514e-05
-7.837500e+00	1.153865e-05
-7.835000e+00	1.154215e-05
-7.832500e+00	1.154566e-05
-7.830000e+00	1.154917e-05
-7.827500e+00	1.155268e-05
-7.825000e+00	1.155620e-05
-7.822500e+00	1.155971e-05
-7.820000e+00	1.156323e-05
-7.817500e+00	1.156675e-05
-7.815000e+00	1.157027e-05
-7.812500e+00	1.157379e-05
-7.810000e+00	1.157731e-05
-7.807500e+00	1.158084e-05
-7.805000e+00	1.158436e-05
-7.802500e+00	1.158789e-05
-7.800000e+00	1.159142e-05
-7.797500e+00	1.159495e-05
-7.795000e+00	1.159849e-05
-7.792500e+00	1.160202e-05
-7.790000e+00	1.160556e-05
-7.787500e+00	1.160910e-05
-7.785000e+00	1.161264e-05
-7.782500e+00	1.161618e-05
-7.780000e+00	1.161972e-05
-7.777500e+00	1.162326e-05
-7.775000e+00	1.162681e-05
-7.772500e+00	1.163036e-05
-7.770000e+00	1.163391e-05
-7.767500e+00	1.163746e-05
-7.765000e+00	1.164101e-05
-7.762500e+00	1.164457e-05
-7.760000e+00	1.164812e-05
-7.757500e+00	1.165168e-05
-7.755000e+00	1.165524e-05
-7.752500e+00	1.165880e-05
-7.750000e+00	1.166236e-05
-7.747500e+00	1.166593e-05
-7.745000e+00	1.166949e-05
-7.742500e+00	1.167306e-05
-7.740000e+00	1.167663e-05
-7.737500e+00	1.168020e-05
-7.735000e+00	1.168377e-05
-7.732500e+00	1.168735e-05
-7.730000e+00	1.169093e-05
-7.727500e+00	1.169450e-05
-7.725000e+00	1.169808e-05
-7.722500e+00	1.170166e-05
-7.720000e+00	1.170525e-05
-7.717500e+00	1.170883e-05
-7.715000e+00	1.171242e-05
-7.712500e+00	1.171600e-05
-7.710000e+00	1.171959e-05
-7.707500e+00	1.172318e-05
-7.705000e+00	1.172678e-05
-7.702500e+00	1.173037e-05
-7.700000e+00	1.173397e-05
-7.697500e+00	1.173757e-05
-7.695000e+00	1.174116e-05
-7.692500e+00	1.174477e-05
-7.690000e+00	1.174837e-05
-7.687500e+00	1.175197e-05
-7.685000e+00	1.175558e-05
-7.682500e+00	1.175919e-05
-7.680000e+00	1.176280e-05
-7.677500e+00	1.176641e-05
-7.675000e+00	1.177002e-05
-7.672500e+00	1.177364e-05
-7.670000e+00	1.177725e-05
-7.667500e+00	1.178087e-05
-7.665000e+00	1.178449e-05
-7.662500e+00	1.178811e-05
-7.660000e+00	1.179173e-05
-7.657500e+00	1.179536e-05
-7.655000e+00	1.179899e-05
-7.652500e+00	1.180261e-05
-7.650000e+00	1.180624e-05
-7.647500e+00	1.180987e-05
-7.645000e+00	1.181351e-05
-7.642500e+00	1.181714e-05
-7.640000e+00	1.182078e-05
-7.637500e+00	1.182442e-05
-7.635000e+00	1.182806e-05
-7.632500e+00	1.183170e-05
-7.630000e+00	1.183534e-05
-7.627500e+00	1.183899e-05
-7.625000e+00	1.184264e-05
-7.622500e+00	1.184628e-05
-7.620000e+00	1.184993e-05
-7.617500e+00	1.185359e-05
-7.615000e+00	1.185724e-05
-7.612500e+00	1.186090e-05
-7.610000e+00	1.186455e-05
-7.607500e+00	1.186821e-05
-7.605000e+00	1.187187e-05
-7.602500e+00	1.187553e-05
-7.600000e+00	1.187920e-05
-7.597500e+00	1.188286e-05
-7.595000e+00	1.188653e-05
-7.592500e+00	1.189020e-05
-7.590000e+00	1.189387e-05
-7.587500e+00	1.189754e-05
-7.585000e+00	1.190122e-05
-7.582500e+00	1.190490e-05
-7.580000e+00	1.190857e-05
-7.577500e+00	1.191225e-05
-7.575000e+00	1.191593e-05
-7.572500e+00	1.191962e-05
-7.570000e+00	1.192330e-05
-7.567500e+00	1.192699e-05
-7.565000e+00	1.193068e-05
-7.562500e+00	1.193437e-05
-7.560000e+00	1.193806e-05
-7.557500e+00	1.194175e-05
-7.555000e+00	1.194545e-05
-7.552500e+00	1.194914e-05
-7.550000e+00	1.195284e-05
-7.547500e+00	1.195654e-05
-7.545000e+00	1.196024e-05
-7.542500e+00	1.196395e-05
-7.540000e+00	1.196765e-05
-7.537500e+00	1.197136e-05
-7.535000e+00	1.197507e-05
-7.532500e+00	1.197878e-05
-7.530000e+00	1.198249e-05
-7.527500e+00	1.198621e-05
-7.525000e+00	1.198993e-05
-7.522500e+00	1.199364e-05
-7.520000e+00	1.199736e-05
-7.517500e+00	1.200108e-05
-7.515000e+00	1.200481e-05
-7.512500e+00	1.200853e-05
-7.510000e+00	1.201226e-05
-7.507500e+00	1.201599e-05
-7.505000e+00	1.201972e-05
-7.502500e+00	1.202345e-05
-7.500000e+00	1.202718e-05
-7.497500e+00	1.203092e-05
-7.495000e+00	1.203466e-05
-7.492500e+00	1.203840e-05
-7.490000e+00	1.204214e-05
-7.487500e+00	1.204588e-05
-7.485000e+00	1.204962e-05
-7.482500e+00	1.205337e-05
-7.480000e+00	1.205712e-05
-7.477500e+00	1.206087e-05
-7.475000e+00	1.206462e-05
