#omega	spectral weight
-3.000000e+00	3.979792e-03
-2.997500e+00	4.595099e-03
-2.995000e+00	5.257570e-03
-2.992500e+00	5.705537e-03
-2.990000e+00	5.688762e-03
-2.987500e+00	5.241551e-03
-2.985000e+00	4.642372e-03
-2.982500e+00	4.134401e-03
-2.980000e+00	3.822001e-03
-2.977500e+00	3.723605e-03
-2.975000e+00	3.821311e-03
-2.972500e+00	4.063701e-03
-2.970000e+00	4.347488e-03
-2.967500e+00	4.553389e-03
-2.965000e+00	4.664591e-03
-2.962500e+00	4.794204e-03
-2.960000e+00	5.044116e-03
-2.957500e+00	5.372915e-03
-2.955000e+00	5.572477e-03
-2.952500e+00	5.420906e-03
-2.950000e+00	4.931260e-03
-2.947500e+00	4.329473e-03
-2.945000e+00	3.817692e-03
-2.942500e+00	3.482680e-03
-2.940000e+00	3.341846e-03
-2.937500e+00	3.392356e-03
-2.935000e+00	3.624604e-03
-2.932500e+00	4.000218e-03
-2.930000e+00	4.400319e-03
-2.927500e+00	4.606182e-03
-2.925000e+00	4.439065e-03
-2.922500e+00	3.954900e-03
-2.920000e+00	3.368902e-03
-2.917500e+00	2.844633e-03
-2.915000e+00	2.438791e-03
-2.912500e+00	2.149442e-03
-2.910000e+00	1.958415e-03
-2.907500e+00	1.849028e-03
-2.905000e+00	1.810471e-03
-2.902500e+00	1.836525e-03
-2.900000e+00	1.919925e-03
-2.897500e+00	2.041308e-03
-2.895000e+00	2.160482e-03
-2.892500e+00	2.236759e-03
-2.890000e+00	2.276095e-03
-2.887500e+00	2.333254e-03
-2.885000e+00	2.465465e-03
-2.882500e+00	2.708494e-03
-2.880000e+00	3.079191e-03
-2.877500e+00	3.577867e-03
-2.875000e+00	4.175550e-03
-2.872500e+00	4.762698e-03
-2.870000e+00	5.105474e-03
-2.867500e+00	4.985749e-03
-2.865000e+00	4.451358e-03
-2.862500e+00	3.761761e-03
-2.860000e+00	3.128514e-03
-2.857500e+00	2.630028e-03
-2.855000e+00	2.266629e-03
-2.852500e+00	2.014966e-03
-2.850000e+00	1.851719e-03
-2.847500e+00	1.760164e-03
-2.845000e+00	1.730762e-03
-2.842500e+00	1.760206e-03
-2.840000e+00	1.849715e-03
-2.837500e+00	2.001100e-03
-2.835000e+00	2.207352e-03
-2.832500e+00	2.438272e-03
-2.830000e+00	2.642530e-03
-2.827500e+00	2.795538e-03
-2.825000e+00	2.940602e-03
-2.822500e+00	3.146257e-03
-2.820000e+00	3.445658e-03
-2.817500e+00	3.828537e-03
-2.815000e+00	4.250111e-03
-2.812500e+00	4.602265e-03
-2.810000e+00	4.728058e-03
-2.807500e+00	4.583059e-03
-2.805000e+00	4.317413e-03
-2.802500e+00	4.121025e-03
-2.800000e+00	4.087715e-03
-2.797500e+00	4.200584e-03
-2.795000e+00	4.351037e-03
-2.792500e+00	4.406981e-03
-2.790000e+00	4.347939e-03
-2.787500e+00	4.290833e-03
-2.785000e+00	4.357977e-03
-2.782500e+00	4.575235e-03
-2.780000e+00	4.842651e-03
-2.777500e+00	4.969798e-03
-2.775000e+00	4.840174e-03
-2.772500e+00	4.550239e-03
-2.770000e+00	4.296528e-03
-2.767500e+00	4.210771e-03
-2.765000e+00	4.326860e-03
-2.762500e+00	4.588814e-03
-2.760000e+00	4.840008e-03
-2.757500e+00	4.881570e-03
-2.755000e+00	4.656328e-03
-2.752500e+00	4.315099e-03
-2.750000e+00	4.048205e-03
-2.747500e+00	3.958605e-03
-2.745000e+00	4.061431e-03
-2.742500e+00	4.292974e-03
-2.740000e+00	4.496539e-03
-2.737500e+00	4.481401e-03
-2.735000e+00	4.198906e-03
-2.732500e+00	3.793701e-03
-2.730000e+00	3.439274e-03
-2.727500e+00	3.228346e-03
-2.725000e+00	3.190159e-03
-2.722500e+00	3.327492e-03
-2.720000e+00	3.620750e-03
-2.717500e+00	3.993600e-03
-2.715000e+00	4.272297e-03
