#omega	spectral weight
-3.000000e+00	1.490221e-02
-2.997500e+00	1.788027e-02
-2.995000e+00	2.166780e-02
-2.992500e+00	2.568996e-02
-2.990000e+00	2.854501e-02
-2.987500e+00	2.866708e-02
-2.985000e+00	2.595070e-02
-2.982500e+00	2.187670e-02
-2.980000e+00	1.791003e-02
-2.977500e+00	1.469080e-02
-2.975000e+00	1.228856e-02
-2.972500e+00	1.057242e-02
-2.970000e+00	9.390470e-03
-2.967500e+00	8.624026e-03
-2.965000e+00	8.195001e-03
-2.962500e+00	8.061551e-03
-2.960000e+00	8.213730e-03
-2.957500e+00	8.672230e-03
-2.955000e+00	9.490217e-03
-2.952500e+00	1.075561e-02
-2.950000e+00	1.258414e-02
-2.947500e+00	1.507460e-02
-2.945000e+00	1.816337e-02
-2.942500e+00	2.132731e-02
-2.940000e+00	2.338722e-02
-2.937500e+00	2.316899e-02
-2.935000e+00	2.077494e-02
-2.932500e+00	1.745385e-02
-2.930000e+00	1.430497e-02
-2.927500e+00	1.176529e-02
-2.925000e+00	9.856152e-03
-2.922500e+00	8.462579e-03
-2.920000e+00	7.459854e-03
-2.917500e+00	6.749146e-03
-2.915000e+00	6.260259e-03
-2.912500e+00	5.946263e-03
-2.910000e+00	5.777875e-03
-2.907500e+00	5.739472e-03
-2.905000e+00	5.826892e-03
-2.902500e+00	6.046864e-03
-2.900000e+00	6.417930e-03
-2.897500e+00	6.972732e-03
-2.895000e+00	7.760987e-03
-2.892500e+00	8.850310e-03
-2.890000e+00	1.031532e-02
-2.887500e+00	1.219005e-02
-2.885000e+00	1.434427e-02
-2.882500e+00	1.631580e-02
-2.880000e+00	1.741115e-02
-2.877500e+00	1.735392e-02
-2.875000e+00	1.667708e-02
-2.872500e+00	1.617250e-02
-2.870000e+00	1.635505e-02
-2.867500e+00	1.747175e-02
-2.865000e+00	1.965729e-02
-2.862500e+00	2.294531e-02
-2.860000e+00	2.703867e-02
-2.857500e+00	3.088212e-02
-2.855000e+00	3.266946e-02
-2.852500e+00	3.122696e-02
-2.850000e+00	2.737372e-02
-2.847500e+00	2.290988e-02
-2.845000e+00	1.902181e-02
-2.842500e+00	1.606129e-02
-2.840000e+00	1.397128e-02
-2.837500e+00	1.259422e-02
-2.835000e+00	1.179138e-02
-2.832500e+00	1.147244e-02
-2.830000e+00	1.159730e-02
-2.827500e+00	1.217408e-02
-2.825000e+00	1.326034e-02
-2.822500e+00	1.496828e-02
-2.820000e+00	1.746781e-02
-2.817500e+00	2.096629e-02
-2.815000e+00	2.560362e-02
-2.812500e+00	3.114346e-02
-2.810000e+00	3.642898e-02
-2.807500e+00	3.926443e-02
-2.805000e+00	3.798695e-02
-2.802500e+00	3.338738e-02
-2.800000e+00	2.773945e-02
-2.797500e+00	2.267603e-02
-2.795000e+00	1.873529e-02
-2.792500e+00	1.587858e-02
-2.790000e+00	1.391040e-02
-2.787500e+00	1.264930e-02
-2.785000e+00	1.197271e-02
-2.782500e+00	1.181979e-02
-2.780000e+00	1.218334e-02
-2.777500e+00	1.309203e-02
-2.775000e+00	1.456049e-02
-2.772500e+00	1.646131e-02
-2.770000e+00	1.831403e-02
-2.767500e+00	1.926643e-02
-2.765000e+00	1.873050e-02
-2.762500e+00	1.706857e-02
-2.760000e+00	1.515644e-02
-2.757500e+00	1.360221e-02
-2.755000e+00	1.261633e-02
-2.752500e+00	1.221685e-02
-2.750000e+00	1.238742e-02
-2.747500e+00	1.314517e-02
-2.745000e+00	1.456446e-02
-2.742500e+00	1.678076e-02
-2.740000e+00	1.996385e-02
-2.737500e+00	2.420128e-02
-2.735000e+00	2.918058e-02
-2.732500e+00	3.369043e-02
-2.730000e+00	3.567893e-02
-2.727500e+00	3.389735e-02
-2.725000e+00	2.937961e-02
-2.722500e+00	2.418832e-02
-2.720000e+00	1.963701e-02
-2.717500e+00	1.609524e-02
-2.715000e+00	1.348024e-02
-2.712500e+00	1.159853e-02
-2.710000e+00	1.027469e-02
-2.707500e+00	9.380719e-03
-2.705000e+00	8.834167e-03
-2.702500e+00	8.590669e-03
-2.700000e+00	8.638215e-03
-2.697500e+00	8.993433e-03
-2.695000e+00	9.695532e-03
-2.692500e+00	1.078455e-02
-2.690000e+00	1.223390e-02
-2.687500e+00	1.380740e-02
-2.685000e+00	1.494237e-02
-2.682500e+00	1.502595e-02
-2.680000e+00	1.403864e-02
-2.677500e+00	1.258133e-02
-2.675000e+00	1.123717e-02
-2.672500e+00	1.026499e-02
-2.670000e+00	9.706502e-03
-2.667500e+00	9.533710e-03
-2.665000e+00	9.721480e-03
-2.662500e+00	1.027290e-02
-2.660000e+00	1.122851e-02
-2.657500e+00	1.267325e-02
-2.655000e+00	1.474358e-02
-2.652500e+00	1.762709e-02
-2.650000e+00	2.152401e-02
-2.647500e+00	2.649198e-02
-2.645000e+00	3.205549e-02
-2.642500e+00	3.670381e-02
-2.640000e+00	3.826667e-02
-2.637500e+00	3.591276e-02
-2.635000e+00	3.118156e-02
-2.632500e+00	2.620907e-02
-2.630000e+00	2.216745e-02
-2.627500e+00	1.934151e-02
-2.625000e+00	1.765654e-02
-2.622500e+00	1.698936e-02
-2.620000e+00	1.728012e-02
-2.617500e+00	1.855290e-02
-2.615000e+00	2.088073e-02
-2.612500e+00	2.425323e-02
-2.610000e+00	2.825381e-02
-2.607500e+00	3.163315e-02
-2.605000e+00	3.256665e-02
-2.602500e+00	3.027105e-02
-2.600000e+00	2.593741e-02
-2.597500e+00	2.131778e-02
-2.595000e+00	1.738416e-02
-2.592500e+00	1.435241e-02
-2.590000e+00	1.211461e-02
-2.587500e+00	1.049763e-02
-2.585000e+00	9.353002e-03
-2.582500e+00	8.574487e-03
-2.580000e+00	8.094374e-03
-2.577500e+00	7.876912e-03
-2.575000e+00	7.913994e-03
-2.572500e+00	8.223859e-03
-2.570000e+00	8.851582e-03
-2.567500e+00	9.866551e-03
-2.565000e+00	1.134233e-02
-2.562500e+00	1.328307e-02
-2.560000e+00	1.544788e-02
-2.557500e+00	1.714985e-02
-2.555000e+00	1.748094e-02
-2.552500e+00	1.618368e-02
-2.550000e+00	1.396637e-02
-2.547500e+00	1.169445e-02
-2.545000e+00	9.802890e-03
-2.542500e+00	8.369854e-03
-2.540000e+00	7.332727e-03
-2.537500e+00	6.605519e-03
-2.535000e+00	6.117403e-03
-2.532500e+00	5.819324e-03
-2.530000e+00	5.681774e-03
-2.527500e+00	5.691733e-03
-2.525000e+00	5.851019e-03
-2.522500e+00	6.176458e-03
-2.520000e+00	6.701573e-03
-2.517500e+00	7.478299e-03
-2.515000e+00	8.573367e-03
-2.512500e+00	1.004349e-02
-2.510000e+00	1.185468e-02
-2.507500e+00	1.371915e-02
-2.505000e+00	1.499335e-02
-2.502500e+00	1.505179e-02
-2.500000e+00	1.397761e-02
-2.497500e+00	1.247123e-02
-2.495000e+00	1.114449e-02
-2.492500e+00	1.025513e-02
-2.490000e+00	9.848265e-03
-2.487500e+00	9.912010e-03
-2.485000e+00	1.045162e-02
-2.482500e+00	1.151561e-02
-2.480000e+00	1.320003e-02
-2.477500e+00	1.562609e-02
-2.475000e+00	1.884643e-02
-2.472500e+00	2.259676e-02
-2.470000e+00	2.592603e-02
-2.467500e+00	2.729705e-02
-2.465000e+00	2.586967e-02
-2.462500e+00	2.250632e-02
-2.460000e+00	1.873735e-02
-2.457500e+00	1.549405e-02
-2.455000e+00	1.302412e-02
-2.452500e+00	1.126107e-02
-2.450000e+00	1.006754e-02
-2.447500e+00	9.325234e-03
-2.445000e+00	8.955655e-03
-2.442500e+00	8.919955e-03
-2.440000e+00	9.216088e-03
-2.437500e+00	9.878001e-03
-2.435000e+00	1.097570e-02
-2.432500e+00	1.260769e-02
-2.430000e+00	1.485982e-02
-2.427500e+00	1.767382e-02
-2.425000e+00	2.057833e-02
-2.422500e+00	2.250762e-02
-2.420000e+00	2.239315e-02
-2.417500e+00	2.031821e-02
-2.415000e+00	1.741329e-02
-2.412500e+00	1.468157e-02
-2.410000e+00	1.252689e-02
-2.407500e+00	1.097533e-02
-2.405000e+00	9.929738e-03
-2.402500e+00	9.285910e-03
-2.400000e+00	8.966020e-03
-2.397500e+00	8.922417e-03
-2.395000e+00	9.134469e-03
-2.392500e+00	9.605991e-03
-2.390000e+00	1.036536e-02
-2.387500e+00	1.146904e-02
-2.385000e+00	1.300904e-02
-2.382500e+00	1.512441e-02
-2.380000e+00	1.801504e-02
-2.377500e+00	2.194743e-02
-2.375000e+00	2.721696e-02
-2.372500e+00	3.397015e-02
-2.370000e+00	4.172004e-02
-2.367500e+00	4.861378e-02
-2.365000e+00	5.161599e-02
-2.362500e+00	4.904230e-02
-2.360000e+00	4.259296e-02
-2.357500e+00	3.533060e-02
-2.355000e+00	2.914484e-02
-2.352500e+00	2.456798e-02
-2.350000e+00	2.151262e-02
-2.347500e+00	1.976383e-02
-2.345000e+00	1.916257e-02
-2.342500e+00	1.963704e-02
-2.340000e+00	2.114777e-02
-2.337500e+00	2.351563e-02
-2.335000e+00	2.609716e-02
-2.332500e+00	2.760169e-02
-2.330000e+00	2.683361e-02
-2.327500e+00	2.397038e-02
-2.325000e+00	2.030830e-02
-2.322500e+00	1.693042e-02
-2.320000e+00	1.424494e-02
-2.317500e+00	1.225669e-02
-2.315000e+00	1.084578e-02
-2.312500e+00	9.890428e-03
-2.310000e+00	9.301324e-03
-2.307500e+00	9.025207e-03
-2.305000e+00	9.041826e-03
-2.302500e+00	9.361901e-03
-2.300000e+00	1.002724e-02
-2.297500e+00	1.110985e-02
-2.295000e+00	1.269832e-02
-2.292500e+00	1.483969e-02
-2.290000e+00	1.738003e-02
-2.287500e+00	1.971220e-02
-2.285000e+00	2.080119e-02
-2.282500e+00	2.001140e-02
-2.280000e+00	1.786314e-02
-2.277500e+00	1.540695e-02
-2.275000e+00	1.332011e-02
-2.272500e+00	1.180379e-02
-2.270000e+00	1.083280e-02
-2.267500e+00	1.033129e-02
-2.265000e+00	1.024119e-02
-2.262500e+00	1.054131e-02
-2.260000e+00	1.125205e-02
-2.257500e+00	1.243909e-02
-2.255000e+00	1.421766e-02
-2.252500e+00	1.674892e-02
-2.250000e+00	2.019832e-02
-2.247500e+00	2.458049e-02
-2.245000e+00	2.939097e-02
-2.242500e+00	3.319383e-02
-2.240000e+00	3.411633e-02
-2.237500e+00	3.167127e-02
-2.235000e+00	2.736670e-02
-2.232500e+00	2.300599e-02
-2.230000e+00	1.949459e-02
-2.227500e+00	1.701028e-02
-2.225000e+00	1.545342e-02
-2.222500e+00	1.469164e-02
-2.220000e+00	1.464417e-02
-2.217500e+00	1.530276e-02
-2.215000e+00	1.673347e-02
-2.212500e+00	1.906403e-02
-2.210000e+00	2.242530e-02
-2.207500e+00	2.676310e-02
-2.205000e+00	3.142990e-02
-2.202500e+00	3.482356e-02
-2.200000e+00	3.512611e-02
-2.197500e+00	3.218507e-02
-2.195000e+00	2.771065e-02
-2.192500e+00	2.343287e-02
-2.190000e+00	2.013975e-02
-2.187500e+00	1.796480e-02
-2.185000e+00	1.682435e-02
-2.182500e+00	1.663569e-02
-2.180000e+00	1.738435e-02
-2.177500e+00	1.911507e-02
-2.175000e+00	2.183983e-02
-2.172500e+00	2.528929e-02
-2.170000e+00	2.851462e-02
-2.167500e+00	2.988945e-02
-2.165000e+00	2.835328e-02
-2.162500e+00	2.463750e-02
-2.160000e+00	2.035679e-02
