#omega	spectral weight
-3.000000e+00	1.888859e-03
-2.997500e+00	2.001430e-03
-2.995000e+00	2.192977e-03
-2.992500e+00	2.424853e-03
-2.990000e+00	2.617423e-03
-2.987500e+00	2.694317e-03
-2.985000e+00	2.669083e-03
-2.982500e+00	2.637233e-03
-2.980000e+00	2.685412e-03
-2.977500e+00	2.846368e-03
-2.975000e+00	3.096758e-03
-2.972500e+00	3.364711e-03
-2.970000e+00	3.568335e-03
-2.967500e+00	3.655118e-03
-2.965000e+00	3.591487e-03
-2.962500e+00	3.391936e-03
-2.960000e+00	3.153559e-03
-2.957500e+00	2.987254e-03
-2.955000e+00	2.955463e-03
-2.952500e+00	3.076772e-03
-2.950000e+00	3.341014e-03
-2.947500e+00	3.711298e-03
-2.945000e+00	4.142800e-03
-2.942500e+00	4.620812e-03
-2.940000e+00	5.119654e-03
-2.937500e+00	5.483153e-03
-2.935000e+00	5.456823e-03
-2.932500e+00	4.961324e-03
-2.930000e+00	4.206200e-03
-2.927500e+00	3.450632e-03
-2.925000e+00	2.823574e-03
-2.922500e+00	2.345462e-03
-2.920000e+00	1.994243e-03
-2.917500e+00	1.741295e-03
-2.915000e+00	1.563110e-03
-2.912500e+00	1.443166e-03
-2.910000e+00	1.371101e-03
-2.907500e+00	1.341641e-03
-2.905000e+00	1.353927e-03
-2.902500e+00	1.411202e-03
-2.900000e+00	1.520402e-03
-2.897500e+00	1.690087e-03
-2.895000e+00	1.922822e-03
-2.892500e+00	2.195916e-03
-2.890000e+00	2.435354e-03
-2.887500e+00	2.530789e-03
-2.885000e+00	2.434633e-03
-2.882500e+00	2.221880e-03
-2.880000e+00	2.004831e-03
-2.877500e+00	1.849743e-03
-2.875000e+00	1.777866e-03
-2.872500e+00	1.792122e-03
-2.870000e+00	1.891279e-03
-2.867500e+00	2.067938e-03
-2.865000e+00	2.291495e-03
-2.862500e+00	2.488296e-03
-2.860000e+00	2.567613e-03
-2.857500e+00	2.511458e-03
-2.855000e+00	2.401152e-03
-2.852500e+00	2.332319e-03
-2.850000e+00	2.355680e-03
-2.847500e+00	2.477515e-03
-2.845000e+00	2.663328e-03
-2.842500e+00	2.837762e-03
-2.840000e+00	2.930394e-03
-2.837500e+00	2.956351e-03
-2.835000e+00	3.008423e-03
-2.832500e+00	3.175046e-03
-2.830000e+00	3.502277e-03
-2.827500e+00	3.993323e-03
-2.825000e+00	4.592605e-03
-2.822500e+00	5.138821e-03
-2.820000e+00	5.370590e-03
