2.500000e+00	4.000000e-01	-4.050000e-01	2.565936e-03	-5.250000e-01	6.796139e-01	-5.251550e-01
2.500000e+00	6.000000e-01	-8.500000e-01	9.184555e-03	-9.375000e-01	6.238640e-01	-9.386854e-01
2.500000e+00	8.000000e-01	-1.380000e+00	1.973974e-02	-1.395000e+00	5.833758e-01	-1.396127e+00
2.500000e+00	1.000000e+00	-1.970000e+00	3.198212e-02	-1.885000e+00	5.508112e-01	-1.968854e+00
2.500000e+00	1.200000e+00	-2.605000e+00	4.450180e-02	-2.397500e+00	5.234777e-01	-2.604211e+00
2.500000e+00	1.400000e+00	-3.272500e+00	5.652515e-02	-2.930000e+00	5.001019e-01	-3.272363e+00
2.500000e+00	1.600000e+00	-3.965000e+00	6.772333e-02	-3.477500e+00	4.799062e-01	-3.964662e+00
2.500000e+00	1.800000e+00	-4.675000e+00	7.801092e-02	-4.037500e+00	4.623437e-01	-4.675120e+00
2.500000e+00	2.000000e+00	-5.400000e+00	8.739392e-02	-4.605000e+00	4.468877e-01	-5.399527e+00
3.500000e+00	4.000000e-01	8.075000e-01	3.951778e-03	-3.225000e-01	8.712541e-01	-3.224514e-01
3.500000e+00	6.000000e-01	4.150000e-01	1.544184e-02	-6.525000e-01	7.932655e-01	-6.534894e-01
3.500000e+00	8.000000e-01	-1.025000e-01	3.181585e-02	-1.047500e+00	7.300232e-01	-1.046822e+00
3.500000e+00	1.000000e+00	-7.000000e-01	4.858236e-02	-1.482500e+00	6.795236e-01	-1.483131e+00
3.500000e+00	1.200000e+00	-1.347500e+00	6.411336e-02	-1.950000e+00	6.383165e-01	-1.951132e+00
3.500000e+00	1.400000e+00	-2.030000e+00	7.804442e-02	-2.442500e+00	6.038700e-01	-2.443613e+00
3.500000e+00	1.600000e+00	-2.735000e+00	9.035758e-02	-2.955000e+00	5.746540e-01	-2.955580e+00
3.500000e+00	1.800000e+00	-3.460000e+00	1.012083e-01	-3.482500e+00	5.495147e-01	-3.483368e+00
3.500000e+00	2.000000e+00	-4.195000e+00	1.107848e-01	-4.025000e+00	5.272080e-01	-4.196035e+00
